IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
[2400:cb00:f00e::f296:a486],2053,TRUE,LAX,North America,Los Angeles,188 ms,14199 kB/s
[2606:4700:3108::31fc:f181],2087,TRUE,LAX,North America,Los Angeles,185 ms,14192 kB/s
[2620:127:f00e::65:a559],2087,TRUE,LAX,North America,Los Angeles,179 ms,14191 kB/s
[2606:4700:3000::df1b:ea61],8443,TRUE,LAX,North America,Los Angeles,182 ms,14181 kB/s
[2606:4700:ff00::4d:751],2096,TRUE,LAX,North America,Los Angeles,180 ms,14172 kB/s
[2a06:98c1:50::ee9],443,TRUE,LAX,North America,Los Angeles,194 ms,14172 kB/s
[2606:4700:3108::598f],8443,TRUE,LAX,North America,Los Angeles,186 ms,14171 kB/s
[2606:4700:3052::6374:81ee],2087,TRUE,LAX,North America,Los Angeles,187 ms,14171 kB/s
[2606:4700:3108::31d2:20f2],2087,TRUE,LAX,North America,Los Angeles,184 ms,14162 kB/s
[2606:4700:3108::57a7],2096,TRUE,LAX,North America,Los Angeles,178 ms,14161 kB/s
[2620:127:f00e::e171:33f3],2053,TRUE,LAX,North America,Los Angeles,184 ms,14153 kB/s
[2606:4700:7000::c015:2544],2083,TRUE,LAX,North America,Los Angeles,187 ms,14148 kB/s
[2606:4700:7000::a511:1e41],443,TRUE,LAX,North America,Los Angeles,193 ms,14147 kB/s
[2606:4700:3000::ce:b170],2087,TRUE,LAX,North America,Los Angeles,203 ms,14131 kB/s
[2606:4700::2719:40be],8443,TRUE,LAX,North America,Los Angeles,177 ms,14130 kB/s
[2606:4700:310c::c4:6c12],8443,TRUE,LAX,North America,Los Angeles,181 ms,14123 kB/s
[2400:cb00:f00e::77fb],2083,TRUE,LAX,North America,Los Angeles,178 ms,14120 kB/s
[2620:127:f00e::5cdd],8443,TRUE,LAX,North America,Los Angeles,190 ms,14102 kB/s
[2a06:98c1:3100::92e5],2087,TRUE,LAX,North America,Los Angeles,182 ms,14089 kB/s
[2400:cb00:f00e::8b:d7fc],2083,TRUE,LAX,North America,Los Angeles,180 ms,14084 kB/s
[2a06:98c1:3100::7f9b:9fe2],2083,TRUE,LAX,North America,Los Angeles,190 ms,14069 kB/s
[2a06:98c1:50::5e74:36a0],2053,TRUE,LAX,North America,Los Angeles,193 ms,14062 kB/s
[2606:4700:4400::ee1a:8789],2087,TRUE,LAX,North America,Los Angeles,185 ms,14059 kB/s
[2606:4700:304f::cbbb:999e],2053,TRUE,LAX,North America,Los Angeles,193 ms,14055 kB/s
[2606:4700:3052::56:3f64],8443,TRUE,LAX,North America,Los Angeles,182 ms,14042 kB/s
[2606:4700:304f::27ca],443,TRUE,LAX,North America,Los Angeles,194 ms,14041 kB/s
[2606:4700:4400::f8ed:2b3c],2083,TRUE,LAX,North America,Los Angeles,179 ms,14029 kB/s
[2a06:98c1:3100::c8dd],443,TRUE,LAX,North America,Los Angeles,196 ms,14028 kB/s
[2620:127:f00e::b5:7854],2083,TRUE,LAX,North America,Los Angeles,180 ms,14008 kB/s
[2606:4700:4700::de36:a096],2053,TRUE,LAX,North America,Los Angeles,186 ms,14007 kB/s
[2a06:98c1:50::bf89],2083,TRUE,LAX,North America,Los Angeles,179 ms,14005 kB/s
[2400:cb00:2049::a0:3d51],8443,TRUE,LAX,North America,Los Angeles,182 ms,13997 kB/s
[2606:4700:3052::73:7f5e],2053,TRUE,LAX,North America,Los Angeles,201 ms,13980 kB/s
[2a06:98c1:50::430d:d380],2087,TRUE,LAX,North America,Los Angeles,185 ms,13979 kB/s
