IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.194.170,2087,TRUE,SIN,Asia Pacific,Singapore,71 ms,19801 kB/s
8.219.210.57,2087,TRUE,SIN,Asia Pacific,Singapore,72 ms,19787 kB/s
47.243.18.199,2053,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,19647 kB/s
8.219.126.240,8443,TRUE,SIN,Asia Pacific,Singapore,68 ms,19591 kB/s
64.110.86.92,2053,TRUE,ICN,Asia Pacific,Seoul,96 ms,19541 kB/s
47.243.255.224,2083,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,19287 kB/s
8.218.204.128,8443,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,19119 kB/s
8.210.55.134,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,18944 kB/s
8.210.101.157,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,18718 kB/s
8.222.137.192,2083,TRUE,SIN,Asia Pacific,Singapore,78 ms,18675 kB/s
47.243.139.243,8443,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,18609 kB/s
8.210.66.190,2087,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,18458 kB/s
8.210.207.214,8443,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,18407 kB/s
8.219.122.55,2096,TRUE,SIN,Asia Pacific,Singapore,66 ms,18376 kB/s
47.243.51.171,2053,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,18269 kB/s
47.243.186.171,2096,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,18106 kB/s
8.222.146.222,2053,TRUE,SIN,Asia Pacific,Singapore,67 ms,18023 kB/s
8.210.245.224,2096,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,17990 kB/s
47.243.51.171,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,17959 kB/s
8.222.156.242,2083,TRUE,SIN,Asia Pacific,Singapore,78 ms,17927 kB/s
8.222.156.242,2053,TRUE,SIN,Asia Pacific,Singapore,69 ms,17840 kB/s
47.245.118.70,2087,TRUE,SIN,Asia Pacific,Singapore,67 ms,17775 kB/s
8.210.207.214,2083,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,17755 kB/s
8.219.170.232,2096,TRUE,SIN,Asia Pacific,Singapore,66 ms,17730 kB/s
8.222.208.38,2087,TRUE,SIN,Asia Pacific,Singapore,67 ms,17698 kB/s
8.217.164.10,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,17681 kB/s
47.245.86.230,8443,TRUE,SIN,Asia Pacific,Singapore,66 ms,17668 kB/s
47.245.96.80,8443,TRUE,SIN,Asia Pacific,Singapore,64 ms,17643 kB/s
47.243.51.171,2096,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,17634 kB/s
8.219.144.168,443,TRUE,SIN,Asia Pacific,Singapore,69 ms,17512 kB/s
8.217.72.0,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,17394 kB/s
47.242.79.71,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,17371 kB/s
8.219.114.201,2096,TRUE,SIN,Asia Pacific,Singapore,73 ms,17362 kB/s
8.217.72.0,8443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,17358 kB/s
47.242.42.153,2096,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,17341 kB/s
8.222.193.65,2087,TRUE,SIN,Asia Pacific,Singapore,67 ms,17318 kB/s
47.243.42.219,2096,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,17264 kB/s
8.210.3.24,8443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,17099 kB/s
8.219.110.81,8443,TRUE,SIN,Asia Pacific,Singapore,69 ms,17085 kB/s
8.210.156.6,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,17001 kB/s
47.242.17.250,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,16998 kB/s
8.222.134.170,2096,TRUE,SIN,Asia Pacific,Singapore,70 ms,16864 kB/s
47.245.86.230,2087,TRUE,SIN,Asia Pacific,Singapore,73 ms,16802 kB/s
47.242.183.7,8443,TRUE,HKG,Asia Pacific,Hong Kong,52 ms,16787 kB/s
47.243.234.9,2083,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,16774 kB/s
47.243.234.9,2053,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,16771 kB/s
8.219.1.92,2096,TRUE,SIN,Asia Pacific,Singapore,65 ms,16748 kB/s
8.222.134.170,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,16731 kB/s
47.242.176.237,2096,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,16703 kB/s
8.219.191.110,8443,TRUE,SIN,Asia Pacific,Singapore,67 ms,16699 kB/s
8.219.229.190,2083,TRUE,SIN,Asia Pacific,Singapore,77 ms,16679 kB/s
8.210.43.213,2096,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,16639 kB/s
8.219.67.133,2096,TRUE,SIN,Asia Pacific,Singapore,72 ms,16609 kB/s
8.219.199.220,2083,TRUE,SIN,Asia Pacific,Singapore,70 ms,16601 kB/s
8.217.232.246,2087,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,16482 kB/s
8.210.43.213,2087,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,16477 kB/s
8.217.164.10,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,16455 kB/s
8.219.194.170,2053,TRUE,SIN,Asia Pacific,Singapore,69 ms,16445 kB/s
47.245.114.163,2083,TRUE,SIN,Asia Pacific,Singapore,69 ms,16418 kB/s
47.243.139.243,2053,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,16393 kB/s
47.245.118.70,2053,TRUE,SIN,Asia Pacific,Singapore,75 ms,16352 kB/s
47.243.139.243,2096,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,16341 kB/s
8.222.208.38,8443,TRUE,SIN,Asia Pacific,Singapore,64 ms,16337 kB/s
47.243.186.171,8443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,16328 kB/s
8.219.199.220,8443,TRUE,SIN,Asia Pacific,Singapore,68 ms,16293 kB/s
8.210.156.6,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,16289 kB/s
8.219.111.175,2096,TRUE,SIN,Asia Pacific,Singapore,72 ms,16259 kB/s
47.245.105.224,8443,TRUE,SIN,Asia Pacific,Singapore,74 ms,16235 kB/s
8.217.232.246,2096,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,16196 kB/s
47.245.96.80,2096,TRUE,SIN,Asia Pacific,Singapore,69 ms,16157 kB/s
47.242.42.153,2087,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,16126 kB/s
8.218.1.163,2096,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,16069 kB/s
8.222.214.231,2087,TRUE,SIN,Asia Pacific,Singapore,72 ms,16045 kB/s
8.210.245.224,2087,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,16043 kB/s
47.245.114.163,2087,TRUE,SIN,Asia Pacific,Singapore,73 ms,16033 kB/s
8.210.9.129,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,16025 kB/s
47.245.126.151,2083,TRUE,SIN,Asia Pacific,Singapore,74 ms,16020 kB/s
8.219.191.110,2096,TRUE,SIN,Asia Pacific,Singapore,70 ms,15996 kB/s
47.245.105.224,2053,TRUE,SIN,Asia Pacific,Singapore,73 ms,15967 kB/s
47.242.54.157,2053,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,15960 kB/s
8.217.123.243,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,15815 kB/s
8.217.221.165,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,15749 kB/s
8.222.165.117,2083,TRUE,SIN,Asia Pacific,Singapore,70 ms,15744 kB/s
47.245.114.163,2096,TRUE,SIN,Asia Pacific,Singapore,69 ms,15707 kB/s
47.245.118.70,2083,TRUE,SIN,Asia Pacific,Singapore,68 ms,15622 kB/s
47.245.84.124,2053,TRUE,SIN,Asia Pacific,Singapore,66 ms,15486 kB/s
8.219.229.190,2096,TRUE,SIN,Asia Pacific,Singapore,72 ms,15264 kB/s
47.242.202.230,8443,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,15212 kB/s
47.242.59.216,2087,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,15123 kB/s
47.243.173.187,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,15055 kB/s
47.242.232.14,8443,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,15011 kB/s
8.210.175.109,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,14882 kB/s
8.222.208.38,2053,TRUE,SIN,Asia Pacific,Singapore,65 ms,14823 kB/s
47.243.42.219,2087,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,14782 kB/s
8.219.177.205,8443,TRUE,SIN,Asia Pacific,Singapore,65 ms,14729 kB/s
8.210.119.11,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,14527 kB/s
47.242.176.237,2087,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,14413 kB/s
8.219.50.180,2096,TRUE,SIN,Asia Pacific,Singapore,79 ms,14409 kB/s
8.219.42.72,2096,TRUE,SIN,Asia Pacific,Singapore,78 ms,14360 kB/s
8.217.123.243,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,14311 kB/s
8.218.204.128,2096,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,14215 kB/s
47.243.234.9,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,14192 kB/s
8.219.229.190,2053,TRUE,SIN,Asia Pacific,Singapore,73 ms,14095 kB/s
8.210.43.213,2083,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,14009 kB/s
8.222.146.222,2083,TRUE,SIN,Asia Pacific,Singapore,75 ms,13975 kB/s
8.210.48.107,8443,TRUE,HKG,Asia Pacific,Hong Kong,54 ms,13854 kB/s
47.243.42.155,2087,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,13842 kB/s
47.242.119.104,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,13806 kB/s
47.242.42.153,2083,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,13796 kB/s
47.245.102.52,2096,TRUE,SIN,Asia Pacific,Singapore,69 ms,13777 kB/s
47.243.5.154,2083,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,13644 kB/s
47.242.125.241,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,13559 kB/s
8.219.60.54,2096,TRUE,SIN,Asia Pacific,Singapore,67 ms,13462 kB/s
8.219.49.65,2087,TRUE,SIN,Asia Pacific,Singapore,80 ms,13445 kB/s
8.217.232.246,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,13383 kB/s
8.210.107.246,2087,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,13382 kB/s
8.210.175.109,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,13209 kB/s
47.243.139.243,2083,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,13179 kB/s
8.210.175.109,2096,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,13134 kB/s
47.242.202.230,2096,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,13130 kB/s
47.245.118.70,2096,TRUE,SIN,Asia Pacific,Singapore,79 ms,13100 kB/s
47.243.74.220,2087,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,13086 kB/s
47.243.186.171,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,13045 kB/s
8.219.198.139,2096,TRUE,SIN,Asia Pacific,Singapore,69 ms,13015 kB/s
47.243.183.127,2083,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,12984 kB/s
8.219.98.13,2087,TRUE,SIN,Asia Pacific,Singapore,75 ms,12956 kB/s
8.210.55.134,2083,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,12937 kB/s
8.210.9.129,2083,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,12927 kB/s
47.242.79.71,2096,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,12919 kB/s
8.210.175.109,2053,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,12858 kB/s
