IP地址,端口,TLS,TCP延迟(ms),速度(MB/s)
216.116.134.160,443,TRUE,205,2.3
185.148.107.34,443,TRUE,183,2.28
45.159.218.141,443,TRUE,183,2.11
45.80.111.215,443,TRUE,153,1.91
185.176.26.17,443,TRUE,155,1.78
154.85.99.172,443,TRUE,153,1.77
66.81.247.232,443,TRUE,180,1.69
185.148.105.169,443,TRUE,158,1.67
91.193.58.65,443,TRUE,152,1.29
147.78.140.138,443,TRUE,184,1.25
170.114.46.213,443,TRUE,210,1.03
89.116.250.99,443,TRUE,152,0.89
185.109.21.251,443,TRUE,121,0.88
45.8.211.135,443,TRUE,205,0.88
185.238.228.171,443,TRUE,189,0.85
185.59.218.129,443,TRUE,155,0.83
45.142.120.141,443,TRUE,160,0.83
159.112.235.133,443,TRUE,185,0.81
185.176.24.194,443,TRUE,183,0.77
185.148.105.197,443,TRUE,208,0.76
194.87.58.91,443,TRUE,213,0.74
45.159.219.46,443,TRUE,151,0.52
188.244.122.65,443,TRUE,189,0.43
193.227.99.85,443,TRUE,152,0.34
170.114.45.110,443,TRUE,127,0.33
185.135.9.219,443,TRUE,121,0.16
185.148.104.40,443,TRUE,156,0.13
192.65.217.22,443,TRUE,208,0.13
188.42.89.147,443,TRUE,152,0.04
154.83.2.163,443,TRUE,183,0
31.22.116.188,443,TRUE,184,0
147.185.161.156,443,TRUE,210,0
45.159.217.193,443,TRUE,209,0
185.146.173.48,443,TRUE,216,0
185.221.160.11,443,TRUE,196,0
164.38.155.238,443,TRUE,189,0
188.42.89.83,443,TRUE,153,0
194.87.59.235,443,TRUE,205,0
104.254.140.240,443,TRUE,182,0
194.87.59.19,443,TRUE,154,0
45.159.217.16,443,TRUE,155,0
168.100.6.151,443,TRUE,145,0
45.159.219.163,443,TRUE,189,0
185.148.106.109,443,TRUE,180,0
188.42.88.1,443,TRUE,122,0
185.148.107.12,443,TRUE,183,0
91.195.110.198,443,TRUE,129,0
