IP地址,端口,TLS,数据中心,地区,城市,延迟(ms),速度(MB/s)
104.23.116.66,2095,FALSE,LAX,North America,Los Angeles,182,15.98
104.22.60.9,2095,FALSE,LAX,North America,Los Angeles,181,15.97
104.24.129.57,2095,FALSE,LAX,North America,Los Angeles,181,15.97
104.27.102.229,2095,FALSE,LAX,North America,Los Angeles,180,15.97
104.23.118.172,2095,FALSE,LAX,North America,Los Angeles,173,15.96
173.245.58.26,2095,FALSE,LAX,North America,Los Angeles,180,15.96
104.21.194.233,2095,FALSE,LAX,North America,Los Angeles,184,15.95
104.24.13.194,80,FALSE,LAX,North America,Los Angeles,191,15.95
104.22.24.30,2095,FALSE,LAX,North America,Los Angeles,184,15.95
104.24.237.127,2095,FALSE,LAX,North America,Los Angeles,181,15.94
162.159.51.100,2095,FALSE,LAX,North America,Los Angeles,184,15.93
104.25.38.144,2095,FALSE,LAX,North America,Los Angeles,186,15.88
104.18.31.172,8080,FALSE,LAX,North America,Los Angeles,199,15.88
104.27.96.29,2095,FALSE,LAX,North America,Los Angeles,184,15.87
104.22.0.166,2095,FALSE,LAX,North America,Los Angeles,185,15.86
104.23.143.181,2095,FALSE,LAX,North America,Los Angeles,184,15.85
104.24.82.187,2095,FALSE,LAX,North America,Los Angeles,184,15.85
104.22.66.79,2095,FALSE,LAX,North America,Los Angeles,192,15.84
104.22.27.38,2095,FALSE,LAX,North America,Los Angeles,185,15.82
104.27.121.102,2095,FALSE,LAX,North America,Los Angeles,184,15.82
104.27.119.144,2095,FALSE,LAX,North America,Los Angeles,187,15.8
104.27.69.18,2095,FALSE,LAX,North America,Los Angeles,201,15.8
104.22.40.59,2095,FALSE,LAX,North America,Los Angeles,185,15.8
104.21.205.232,2095,FALSE,LAX,North America,Los Angeles,181,15.79
104.21.195.207,2095,FALSE,LAX,North America,Los Angeles,195,15.79
104.27.71.194,2095,FALSE,LAX,North America,Los Angeles,181,15.78
104.22.50.220,2095,FALSE,LAX,North America,Los Angeles,182,15.77
104.27.45.161,2095,FALSE,LAX,North America,Los Angeles,184,15.77
104.25.62.63,2095,FALSE,LAX,North America,Los Angeles,185,15.77
104.23.138.73,2095,FALSE,LAX,North America,Los Angeles,180,15.76
104.24.84.33,2095,FALSE,LAX,North America,Los Angeles,173,15.75
104.27.46.242,2095,FALSE,LAX,North America,Los Angeles,183,15.74
104.22.8.196,2095,FALSE,LAX,North America,Los Angeles,182,15.72
104.25.13.37,2095,FALSE,LAX,North America,Los Angeles,182,15.71
104.27.84.9,2095,FALSE,LAX,North America,Los Angeles,185,15.71
104.22.16.46,2095,FALSE,LAX,North America,Los Angeles,196,15.71
104.22.54.153,2095,FALSE,LAX,North America,Los Angeles,187,15.7
104.25.64.30,2095,FALSE,LAX,North America,Los Angeles,181,15.69
104.22.34.195,2095,FALSE,LAX,North America,Los Angeles,186,15.69
104.25.46.130,2095,FALSE,LAX,North America,Los Angeles,177,15.68
104.24.157.41,2095,FALSE,LAX,North America,Los Angeles,184,15.67
104.24.78.223,2095,FALSE,LAX,North America,Los Angeles,185,15.67
104.24.50.167,2095,FALSE,LAX,North America,Los Angeles,183,15.67
104.25.15.171,2095,FALSE,LAX,North America,Los Angeles,184,15.67
104.24.219.15,2095,FALSE,LAX,North America,Los Angeles,183,15.65
104.21.218.190,2095,FALSE,LAX,North America,Los Angeles,180,15.65
104.25.109.86,2095,FALSE,LAX,North America,Los Angeles,181,15.63
104.27.40.140,2095,FALSE,LAX,North America,Los Angeles,197,15.61
104.22.43.178,2095,FALSE,LAX,North America,Los Angeles,177,15.6
104.24.81.236,2095,FALSE,LAX,North America,Los Angeles,186,15.6
104.27.75.197,2095,FALSE,LAX,North America,Los Angeles,188,15.59
104.24.227.253,2095,FALSE,LAX,North America,Los Angeles,188,15.59
104.23.128.162,2095,FALSE,LAX,North America,Los Angeles,184,15.58
104.24.90.71,2095,FALSE,LAX,North America,Los Angeles,186,15.57
104.27.88.18,2095,FALSE,LAX,North America,Los Angeles,189,15.57
104.27.122.9,2095,FALSE,LAX,North America,Los Angeles,189,15.57
104.25.92.214,2095,FALSE,LAX,North America,Los Angeles,186,15.56
104.24.230.18,2095,FALSE,LAX,North America,Los Angeles,185,15.55
104.27.54.107,2095,FALSE,LAX,North America,Los Angeles,187,15.55
